Country,Region,V-Dem Electoral Democracy Index 2021,V-Dem Regime Type 2021,Feldstein Digital Repression Index 2021,Freedom on the Net 2021 Status,Freedom on the Net 2021 Score,Military Expenditures (USD) 2018,Military Expenditures Ranking (2018),Member of Belt & Road Initiative,China ODI Rank (EIU),Safe City System,Facial Recognition System,Smart Policing,Social Media Surveillance,China Tech,US Tech,Other Countries,Company 1,Company 2,Company 3,Company 4,Company 5
Iran,MENA,0.182,EA,1.5861632823944092,NOT FREE,16.0,13194.151136686985,18.0,1,19.0,1,1,1,1,1,0,0,ZTE,CETC,0,0,0
Iraq,MENA,0.373,EA,0.6352831125259399,PARTLY FREE,41.0,6317.977150052539,32.0,1,,1,1,0,0,1,0,0,Huawei,0,0,0,0
Ivory Coast,AF,0.431,EA,0.1633661985397339,NO DATA,,607.8482178844936,82.0,1,,1,0,0,0,1,0,0,Huawei,0,0,0,0
Kazakhstan,SCA,0.257,EA,1.1713413000106812,NOT FREE,33.0,1613.5893332016549,64.0,1,12.0,1,1,1,1,1,0,Russia,Speech Technology Center,Analytical Business Solutions,Huawei,0,0
Kenya,AF,0.471,EA,-0.1777755171060562,PARTLY FREE,66.0,1097.4581530508262,69.0,1,,1,1,1,1,1,0,"Kenya, Israel, Japan",Huawei,Safaricom,NEC,Webintpro,0
Kyrgyzstan,SCA,0.421,EA,-0.13705261051654816,PARTLY FREE,53.0,121.16361989925538,118.0,1,,1,1,1,0,1,0,0,Huawei,0,0,0,0
Lebanon,MENA,0.455,EA,0.6680009365081787,PARTLY FREE,51.0,2775.557816206579,52.0,1,,1,0,1,0,0,1,Lebanon,Guardia,Crestron,0,0,0
Madagascar,AF,0.481,EA,0.04247484356164932,NO DATA,,,,1,,1,0,0,0,1,0,0,Huawei,0,0,0,0
Malaysia,EAP,0.413,EA,-0.07614320516586304,PARTLY FREE,58.0,3469.8282067914524,49.0,1,4.0,1,1,1,1,1,0,"Malaysia, Israel, Japan",Huawei,Yitu,NEC,IBM,0
Nigeria,AF,0.491,EA,-0.14425890147686005,PARTLY FREE,59.0,,,1,,1,0,0,1,1,0,0,Huawei,0,0,0,0
Pakistan,SCA,0.363,EA,0.654068112373352,NOT FREE,25.0,11375.525626091723,20.0,1,41.0,1,1,1,1,1,0,Canada,Huawei,Sandvine,0,0,0
Papua New Guinea,EAP,0.425,EA,-0.8511118292808533,NO DATA,,,,1,,1,0,0,0,1,0,0,Huawei,0,0,0,0
Philippines,EAP,0.429,EA,0.42016786336898804,PARTLY FREE,65.0,3769.7410112679463,46.0,1,28.0,1,1,1,1,1,1,"Israel, Philippines",Huawei,CITCC,IBM,Boeing,Verint
Russia,EUR,0.257,EA,0.8932768702507019,NOT FREE,30.0,61387.546980435385,6.0,1,10.0,1,1,1,1,1,1,Russia,Mult,NTechLab,Ladakom-Service,Speech Technology Center,Analytical Business Solutions
Serbia,EUR,0.336,EA,-0.005861305631697178,FREE,71.0,904.3233914539239,73.0,1,,1,1,1,0,1,0,0,Huawei,0,0,0,0
Singapore,EAP,0.404,EA,0.04856400191783905,PARTLY FREE,54.0,10841.000268987831,22.0,1,1.0,1,1,1,0,1,1,"France, Japan",Huawei,Yitu,Tascent,Dassault,Accenture
Tajikistan,SCA,0.184,EA,1.6165735721588135,NO DATA,,,,1,,1,1,0,1,1,0,0,Huawei,0,0,0,0
Tunisia,MENA,0.556,EA,-0.47025859355926514,PARTLY FREE,63.0,,,1,,1,0,0,0,1,0,0,Huawei,0,0,0,0
Turkey,EUR,0.279,EA,1.1891378164291382,NOT FREE,34.0,18967.113030797886,15.0,1,46.0,1,1,1,1,1,0,"Turkey, South Korea",HAVESLAN,Dahua,Hanwha Techwin,0,0
Uganda,AF,0.284,EA,0.9422240853309631,PARTLY FREE,49.0,408.3675667134496,94.0,1,,1,1,0,1,1,0,0,Huawei,0,0,0,0
Venezuela,WHA,0.219,EA,1.680777907371521,NOT FREE,28.0,,,1,59.0,0,1,0,0,1,0,0,Huawei,ZTE,CEIEC,0,0
Zambia,AF,0.379,EA,0.3870250880718231,PARTLY FREE,59.0,378.0254309589422,98.0,1,,1,1,0,0,1,0,0,Huawei,ZTE,Hikvision,0,0
Zimbabwe,AF,0.281,EA,1.0226870775222778,PARTLY FREE,46.0,420.364,91.0,1,,0,1,1,0,1,0,0,Huawei,Hikvision,CloudWalk,0,0
Argentina,WHA,0.819,ED,-1.1312596797943115,FREE,71.0,4144.991771422125,43.0,1,51.0,0,1,1,1,1,1,"Sweden, Germany, Japan",Huawei,ZTE,NEC,Bosch,Oracle
Armenia,EUR,0.739,ED,-0.574159562587738,FREE,71.0,,,1,,1,0,0,0,1,0,0,Huawei,0,0,0,0
Austria,EUR,0.825,ED,-1.1159368753433228,NO DATA,,,,0,,0,1,1,0,0,0,"Germany, France",Cognitec Systems,Atos IT Solutions and Services,0,0,0
Bolivia,WHA,0.619,ED,-0.10271111875772476,NO DATA,,618.8420831481142,79.0,1,,1,1,1,0,1,0,0,Huawei,ZTE,CEIEC,0,0
Bosnia and Herzegovina,EUR,0.526,ED,-0.6335821151733398,NO DATA,,,,1,,1,0,0,0,1,0,0,Huawei,0,0,0,0
Brazil,WHA,0.661,ED,-0.08610236644744873,PARTLY FREE,64.0,27766.427104013972,12.0,0,52.0,1,1,1,1,1,1,Israel,IBM,Dahua,Verint,0,0
Colombia,WHA,0.645,ED,0.7678020596504211,PARTLY FREE,65.0,10602.860966737766,24.0,0,55.0,1,1,1,0,0,0,Japan,NEC,0,0,0,0
Croatia,EUR,0.751,ED,-0.8977238535881042,NO DATA,,,,1,,0,1,1,0,0,0,0,0,0,0,0,0
Czech Republic,EUR,0.805,ED,-1.0522923469543457,NO DATA,,2710.0175833052126,53.0,1,16.0,0,1,1,0,0,0,0,0,0,0,0,0
Dominican Republic,WHA,0.683,ED,-1.2249845266342163,NO DATA,,,,0,,0,1,0,0,1,0,0,0,0,0,0,0
Ecuador,WHA,0.644,ED,0.18134592473506927,PARTLY FREE,62.0,2549.4,55.0,1,57.0,1,1,1,0,1,0,0,Huawei,CEIEC,0,0,0
Georgia,EUR,0.648,ED,-0.5444827675819397,FREE,77.0,316.50836808463004,100.0,1,,1,1,1,0,0,0,Japan,NEC,0,0,0,0
Ghana,AF,0.663,ED,-0.7751492857933044,PARTLY FREE,64.0,218.44425359219503,110.0,1,,1,0,1,0,1,0,0,Huawei,0,0,0,0
Indonesia,EAP,0.585,ED,-0.08319711685180664,PARTLY FREE,48.0,7437.1973477386355,26.0,1,26.0,1,1,1,1,1,1,"Indonesia, Japan",NEC,PT Industri Telekomunikasi Indonesia,Huawei,0,0
Jamaica,WHA,0.806,ED,-1.063205599784851,NO DATA,,207.77268579533634,112.0,1,,0,1,1,0,0,0,0,0,0,0,0,0
Malta,EUR,0.777,ED,-0.5852514505386353,NO DATA,,69.28460984620469,128.0,1,,1,1,1,0,1,0,0,Huawei,0,0,0,0
Mauritius,AF,0.593,ED,0.17764349281787872,NO DATA,,23.202895561244578,141.0,0,,1,0,1,0,1,0,0,Huawei,0,0,0,0
Mexico,WHA,0.628,ED,-0.5189091563224792,PARTLY FREE,60.0,6567.509335988758,31.0,0,44.0,1,1,1,0,1,1,"France, Mexico, Russia",Dahua,InfiNet,Telmex,Thales,Axxonsoft
Moldova,EUR,0.738,ED,-0.9685626029968262,NO DATA,,,,1,,1,0,0,0,1,0,0,Huawei,0,0,0,0
Mongolia,EAP,0.628,ED,-0.814999520778656,NO DATA,,96.06748985981112,122.0,1,,0,1,1,0,1,0,0,Dahua,0,0,0,0
Namibia,AF,0.634,ED,-0.6857744455337524,NO DATA,,451.54650880912516,89.0,1,,0,1,1,0,0,0,Namibia,Otesa,0,0,0,0
Panama,WHA,0.75,ED,-0.8160191774368286,NO DATA,,0.0,,1,,1,1,1,0,1,1,0,Huawei,FaceFirst,0,0,0
Paraguay,WHA,0.57,ED,-0.8057878613471985,NO DATA,,386.55638958634836,45.0,0,96.0,0,1,0,0,0,0,0,0,0,0,0,0
Peru,WHA,0.759,ED,-0.9131074547767639,NO DATA,,2708.912280267126,54.0,1,38.0,0,1,1,0,1,0,Peru,Desarrollos Terrestres Perú,0,0,0,0
Poland,EUR,0.585,ED,-0.6747467517852783,NO DATA,,,,1,,0,1,0,0,0,0,0,0,0,0,0,0
Romania,EUR,0.782,ED,-0.9463152289390564,NO DATA,,4608.673549837672,40.0,1,34.0,0,1,1,0,0,0,Japan,NEC,0,0,0,0
Slovenia,EUR,0.703,ED,-0.8709688782691956,NO DATA,,,,1,,0,0,1,0,0,0,0,0,0,0,0,0
South Africa,AF,0.715,ED,-0.8079947233200073,FREE,73.0,3639.879164984507,48.0,1,43.0,1,1,1,1,1,0,0,Huawei,0,0,0,0
Sri Lanka,SCA,0.573,ED,0.42897844314575195,PARTLY FREE,51.0,,,1,,0,1,1,1,1,0,0,0,0,0,0,0
Ukraine,EUR,0.517,ED,0.19774024188518524,PARTLY FREE,62.0,4750.219043996279,39.0,1,47.0,1,1,0,0,1,1,0,Huawei,Hikvision,Microsoft,0,0
Australia,EAP,0.854,LD,-0.896487295627594,FREE,75.0,26711.834224738464,13.0,0,5.0,1,1,1,1,1,1,"Japan, Australia",Palantir,NEC,CrowdOptic,iOmniscient,Hikvision
Belgium,EUR,0.885,LD,-1.3118640184402466,NO DATA,,,,0,,0,1,1,0,0,1,0,Briefcam (US),0,0,0,0
Botswana,AF,0.595,LD,-0.8648058176040649,NO DATA,,529.4810419848643,86.0,0,,1,0,1,0,1,0,0,Huawei,0,0,0,0
Canada,WHA,0.857,LD,-1.3299667835235596,FREE,87.0,21620.598711982708,14.0,0,8.0,0,1,1,1,0,1,0,Avigilon,Palantir,Salesforce,0,0
Chile,WHA,0.834,LD,-0.937402069568634,NO DATA,,5570.724562665607,34.0,1,9.0,0,1,1,0,1,0,0,Huawei,0,0,0,0
Denmark,EUR,0.908,LD,-1.5376280546188354,NO DATA,,4228.1942540224945,42.0,0,17.0,1,1,1,0,1,1,"Australia, Denmark",Palantir,BrainChip,Hikvision,Leapcraft,Cisco
France,EUR,0.874,LD,-0.657324492931366,FREE,78.0,63799.676593132914,5.0,0,27.0,1,1,1,1,1,1,"France, Finland, Japan",Huawei,ZTE,Thales,Teleste,Palantir
Germany,EUR,0.87,LD,-0.9589992165565491,FREE,79.0,49470.627810629936,8.0,0,20.0,1,1,1,1,1,1,Germany,Huawei,Palantir,IfmPt,Secunet,0
Greece,EUR,0.797,LD,-1.0740736722946167,NO DATA,,,,0,,0,1,1,0,0,0,Greece,Intracom Telecom,0,0,0,0
Israel,MENA,0.739,LD,-0.25027185678482056,NO DATA,,15946.788601441198,17.0,0,11.0,1,1,1,1,0,1,Israel,Verint,NICE,AnyVision,Elbit,BriefCam
Italy,EUR,0.851,LD,-1.096622109413147,FREE,76.0,27807.513898233065,11.0,1,50.0,1,1,1,1,1,0,"Italy, Russia, South Korea",Huawei,Parsec,Axxonsoft,Hanwha Techwin,0
Japan,EAP,0.835,LD,-1.1231129169464111,FREE,76.0,46617.95486395364,9.0,0,14.0,0,1,1,0,0,0,Japan,NEC,0,0,0,0
Netherlands,EUR,0.862,LD,-1.2327889204025269,NO DATA,,11242.75580420901,21.0,0,31.0,1,1,1,0,1,0,France,IDEMIA,Huawei,Hikvision,0,0
New Zealand,EAP,0.887,LD,-1.1436853408813477,NO DATA,,2262.9283118815556,56.0,1,35.0,0,1,1,0,1,1,New Zealand,Palantir,Hikvision,0,0,0
South Korea,EAP,0.861,LD,-1.0636382102966309,PARTLY FREE,67.0,43069.97334287524,10.0,1,7.0,1,1,1,1,0,1,"South KorElectoral Autocracy, SwElectoral Democracyen, Russia",0,Korea Telecom,SK Telecom,LG Uplus,Axxonsoft
Spain,EUR,0.856,LD,-1.1170341968536377,NO DATA,,18248.291491094504,16.0,0,42.0,1,1,1,0,1,1,Spain,Huawei,IBM,SICE,Herta,0
Sweden,EUR,0.907,LD,-1.4837185144424438,NO DATA,,,,0,,0,1,1,0,0,1,0,Clearview AI,0,0,0,0
Switzerland,EUR,0.885,LD,-1.4362410306930542,NO DATA,,4795.847181198755,38.0,0,6.0,1,1,0,0,0,0,Turkey,Ekin,0,0,0,0
Taiwan,EAP,0.813,LD,-0.5940704941749573,FREE,80.0,10713.677601643847,23.0,0,13.0,0,1,0,0,0,0,"Taiwan, Japan",Lilin,Gorilla,NEC,0,0
United Kingdom,EUR,0.863,LD,-0.654357373714447,FREE,78.0,49997.2,7.0,0,40.0,1,1,1,1,1,1,Japan,Hikvision,NEC,Palantir,0,0
UnitElectoral Democracy States of AmeriClosed Autocracy,WHA,0.821,LD,-0.5131415724754333,FREE,75.0,648798.273,1.0,0,2.0,1,1,1,1,0,1,"Israel, Japan",Mult,Cognitec,Palantir,PredPol,Amazon
Uruguay,WHA,0.841,LD,-1.1822233200073242,NO DATA,,1168.1308137356139,68.0,1,,1,1,1,0,1,1,Spain,ZTE,Palantir,Herta,0,0
